,Id,Age,Sex,LikeMusic,LikeTV,LikeDrawing,LikeComputer,LikeOutSport,LikeInSport,FriendCount,LikeFriendPlay,LikeAlone,FunFamily,LikeSchool,SadSchool,TiredSchool,FedSchool,FriendTalk,Bullied,BullyOthers,ChildLeftOut
0,M10001N,7.3,Female,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Some,I like it a lot,All of the time,All of the time,I like it a lot,Some of the time,Some of the time,Never,Never,All of the time,Some of the time,Never
1,M10002P,7.4,Male,I like it a bit,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a lot,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,Some of the time,Some of the time,Never,Never,Never,Never
2,M10007U,7.3,Male,I like it a bit,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,Never,Never,Never,Never,Never,Never
3,M10011Q,7.5,Female,I like it a bit,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,Never,Never,Never,Never,Never,Never
4,M10015U,7.1,Female,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a bit,Not many,I like it a lot,Some of the time,Some of the time,I like it a bit,Never,Some of the time,Never,Never,Never,Never,Some of the time
5,M10016V,7.7,Male,I like it a bit,I like it a lot,,I like it a bit,I like it a lot,I like it a bit,Some,I like it a lot,Never,Some of the time,I like it a bit,Never,Some of the time,Some of the time,Some of the time,Never,Never,Never
6,M10017W,7.0,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,Some,I like it a lot,All of the time,All of the time,I don't like it,Never,All of the time,Some of the time,All of the time,Never,All of the time,Some of the time
7,M10018X,6.9,Female,I like it a lot,I like it a bit,I like it a lot,I don't like it,I like it a lot,I like it a bit,Not many,I like it a lot,Some of the time,Some of the time,I like it a bit,Some of the time,All of the time,Some of the time,Never,All of the time,Never,Some of the time
8,M10020R,7.2,Female,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a bit,I like it a bit,Lots,I like it a lot,All of the time,All of the time,I like it a lot,Some of the time,Never,Some of the time,Some of the time,Never,Never,Never
9,M10021S,7.5,Female,I like it a bit,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a lot,Some,I like it a lot,Some of the time,All of the time,I don't like it,Never,Some of the time,Some of the time,All of the time,Never,Never,Some of the time
10,M10024V,7.1,Male,I like it a bit,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I don't like it,Lots,I like it a lot,Never,Some of the time,I like it a lot,Some of the time,Never,Never,Some of the time,Some of the time,Never,Some of the time
11,M10025W,7.0,Male,I don't like it,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a bit,Never,Some of the time,Some of the time,Some of the time,Some of the time,Never,Never
12,M10027Y,7.3,Male,I don't like it,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I don't like it,Lots,I like it a lot,Never,Some of the time,I don't like it,All of the time,All of the time,All of the time,Some of the time,Never,Never,Never
13,M10029A,7.2,Male,I like it a lot,I don't like it,I like it a lot,I like it a bit,I don't like it,I don't like it,Lots,I like it a lot,Never,Never,I don't like it,Some of the time,Never,Never,Never,Never,Never,Never
14,M10034X,7.0,Male,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I don't like it,Never,All of the time,All of the time,All of the time,Never,Never,Never
15,M10036Z,7.4,,,,,,,,,,,,,,,,,,,
16,M10038B,7.3,Female,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,Never,Never,Never,Some of the time,All of the time,Never
17,M10039C,7.4,Male,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I don't like it,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,All of the time,Some of the time,Never,Never,Never,Some of the time
18,M10040V,7.3,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a lot,Some of the time,Some of the time,Never,Never,Never,Some of the time,All of the time
19,M10041W,7.4,Female,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,Some of the time,Never,Never,Some of the time,Never,Never
20,M10042X,7.1,Female,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,Some of the time,I like it a bit,Never,Some of the time,Some of the time,Some of the time,Never,Never,Never
21,M10043Y,6.9,Female,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I don't like it,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,Some of the time,Never,Some of the time,Never,Never,Never
22,M10044Z,7.1,,,,,,,,,,,,,,,,,,,
23,M10046B,7.1,Female,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Never,Some of the time,Some of the time,Never,Never,Never,Some of the time
24,M10052Z,7.0,Male,I like it a lot,I don't like it,I like it a lot,I like it a lot,I like it a lot,I don't like it,Lots,I like it a lot,Never,All of the time,I like it a lot,Some of the time,Never,Never,Never,Never,Never,Never
25,M10054B,7.4,Female,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Some of the time,Some of the time,Never,Some of the time,Some of the time,Never,Some of the time
26,M10056D,7.2,Female,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a lot,Some of the time,All of the time,Some of the time,Never,All of the time,Never,Never
27,M10057E,7.3,Male,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a lot,Some of the time,All of the time,I like it a bit,Some of the time,Some of the time,Some of the time,Some of the time,Never,Some of the time,Some of the time
28,M10059G,7.2,Female,I like it a lot,I don't like it,I like it a bit,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a lot,All of the time,All of the time,I like it a lot,Some of the time,Some of the time,Never,Never,All of the time,Never,Some of the time
29,M10060Z,6.8,,,,,,,,,,,,,,,,,,,
30,M10062B,7.5,Female,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a bit,Some,I like it a lot,Some of the time,All of the time,I like it a bit,Some of the time,Some of the time,Never,Some of the time,Never,Never,Never
31,M10063C,7.2,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I don't like it,I don't like it,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,Some of the time,Some of the time,Never,Some of the time,Never,Some of the time
32,M10064D,7.4,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,Lots,I like it a lot,Never,All of the time,I don't like it,Some of the time,All of the time,All of the time,Some of the time,Some of the time,Some of the time,Never
33,M10068H,7.1,Male,I don't like it,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a lot,Some of the time,Some of the time,Some of the time,All of the time,Never,Never,Some of the time
34,M10069J,7.0,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,Never,Never,Never,Never,Never,Never
35,M10071C,7.2,Female,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a bit,Some of the time,Some of the time,Some of the time,Some of the time,Never,Never,Some of the time
36,M10072D,6.8,Female,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a bit,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a bit,Never,Some of the time,Never,Some of the time,Never,Never,Some of the time
37,M10073E,7.2,Female,I like it a lot,I like it a bit,I don't like it,,I like it a lot,I like it a bit,Lots,I like it a lot,All of the time,Some of the time,I like it a lot,Some of the time,Some of the time,Some of the time,All of the time,Some of the time,Never,Some of the time
38,M10074F,6.7,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Never,All of the time,All of the time,All of the time,Never,Never,Some of the time
39,M10079L,7.2,Male,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,All of the time,All of the time,I like it a bit,Never,Some of the time,Never,Some of the time,Some of the time,Some of the time,Never
40,M10083G,7.0,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a bit,Some of the time,All of the time,I like it a lot,Never,All of the time,All of the time,All of the time,Never,Never,Some of the time
41,M10088M,7.8,Female,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a bit,Some,I like it a lot,Some of the time,Some of the time,I like it a lot,Some of the time,Some of the time,Never,Never,Some of the time,Never,Some of the time
42,M10089N,6.8,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,Never,Some of the time,Some of the time,Some of the time,Never,Some of the time
43,M10091G,7.3,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,Some of the time,I like it a bit,Some of the time,Never,Some of the time,Some of the time,Never,Never,Some of the time
44,M10094K,7.3,Male,I like it a lot,I like it a lot,I don't like it,I like it a lot,I like it a lot,I like it a bit,Not many,I like it a lot,All of the time,All of the time,I like it a bit,All of the time,Never,Some of the time,All of the time,All of the time,Some of the time,Never
45,M10095L,6.9,Female,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a lot,Some of the time,Some of the time,Never,Never,Some of the time,Never,Some of the time
46,M10096M,7.3,Male,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I don't like it,Lots,I like it a lot,Never,Some of the time,I like it a bit,Never,Some of the time,Some of the time,Never,Never,Never,Never
47,M10099Q,6.9,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Some of the time,All of the time,I like it a bit,Never,Never,Never,All of the time,Never,Never,Some of the time
48,M10102S,7.3,Female,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Never,Some of the time,Never,Some of the time,Never,Never,Never
49,M10105V,7.0,Female,I like it a bit,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a lot,Some,I like it a lot,Never,All of the time,I don't like it,Some of the time,All of the time,All of the time,All of the time,Some of the time,Some of the time,Some of the time
50,M10106W,7.4,,,,,,,,,,,,,,,,,,,
51,M10107X,7.5,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,Some of the time,Some of the time,Never,Never,Never,Never
52,M10109Z,6.9,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Some of the time,Never,Never,Never,Never,Never,Some of the time
53,M10110S,7.5,Female,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a bit,Some,I like it a lot,All of the time,Some of the time,I like it a lot,Some of the time,Some of the time,Some of the time,Never,,Never,Never
54,M10113V,7.2,Male,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a lot,Some of the time,Never,Never,Never,Never,Never,All of the time
55,M10114W,7.4,,,,,,,,,,,,,,,,,,,
56,M10115X,7.5,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a bit,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,Some of the time,Some of the time,Some of the time,Some of the time,Never,Some of the time
57,M10116Y,6.8,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a bit,Some of the time,Never,Never,Some of the time,Never,Never,Never
58,M10118A,7.0,Female,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I don't like it,I like it a lot,Some,I like it a lot,Never,All of the time,I like it a lot,Some of the time,Some of the time,Some of the time,Some of the time,Never,Never,Some of the time
59,M10120U,7.3,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Some,I like it a lot,Some of the time,All of the time,I like it a lot,Some of the time,Some of the time,Some of the time,Some of the time,Never,Never,Some of the time
60,M10122W,7.3,Female,I like it a bit,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a lot,Some of the time,Some of the time,I like it a lot,Some of the time,Never,Never,Some of the time,Some of the time,Never,Some of the time
61,M10125Z,7.6,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Never,Never,Never,Some of the time,Never,Never,Never
62,M10126A,7.1,Male,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a bit,I like it a bit,Some,I like it a lot,Some of the time,Some of the time,I don't like it,Some of the time,Some of the time,All of the time,Some of the time,Some of the time,Never,Never
63,M10127B,7.3,Female,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,All of the time,All of the time,Never,All of the time,Never,Never,Never
64,M10128C,7.2,Male,I don't like it,I don't like it,I like it a lot,I don't like it,,,Lots,,All of the time,All of the time,I don't like it,Never,All of the time,,Never,All of the time,Never,All of the time
65,M10129D,7.6,Male,I like it a bit,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a lot,Some,I like it a lot,Never,Some of the time,I like it a bit,Never,Never,Never,Never,Never,Never,Never
66,M10130W,7.5,Male,I like it a bit,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a lot,Some,I like it a bit,Some of the time,All of the time,I like it a bit,Never,Some of the time,All of the time,Never,Some of the time,Never,All of the time
67,M10131X,7.5,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I don't like it,I don't like it,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,All of the time,Never,All of the time,All of the time,Never,Never,Never
68,M10132Y,7.3,,,,,,,,,,,,,,,,,,,
69,M10134A,6.8,Female,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I don't like it,I don't like it,Some,I like it a lot,Never,All of the time,I like it a lot,All of the time,All of the time,Never,Never,All of the time,Never,All of the time
70,M10136C,7.2,Female,I like it a bit,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a bit,Not many,I like it a bit,Some of the time,Some of the time,I like it a lot,Some of the time,Never,Some of the time,Never,Some of the time,Never,Some of the time
71,M10137D,7.4,Male,I like it a lot,I like it a lot,I like it a lot,,I like it a lot,,,I like it a lot,,All of the time,I like it a lot,Some of the time,,Some of the time,Some of the time,Some of the time,Never,Some of the time
72,M10138E,7.1,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I don't like it,I don't like it,Lots,I like it a lot,All of the time,Some of the time,I don't like it,All of the time,All of the time,All of the time,All of the time,Some of the time,All of the time,All of the time
73,M10139F,6.8,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Some,I like it a lot,Some of the time,All of the time,I like it a lot,Never,Never,Never,All of the time,Never,Never,Never
74,M10142A,7.6,Male,I like it a lot,I like it a lot,I don't like it,I like it a lot,I like it a bit,I like it a lot,Lots,I like it a lot,All of the time,All of the time,I like it a bit,All of the time,Never,All of the time,Never,All of the time,Never,Some of the time
75,M10143B,6.9,Female,I like it a lot,I like it a bit,I like it a lot,I don't like it,I like it a lot,I like it a lot,Some,I like it a lot,Never,All of the time,I like it a lot,Never,Never,Never,Never,,Never,Some of the time
76,M10144C,7.1,Male,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Some,I like it a lot,Some of the time,Never,I like it a bit,Some of the time,Never,All of the time,Some of the time,Never,Some of the time,Some of the time
77,M10146E,7.1,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I don't like it,Some of the time,Some of the time,Some of the time,Some of the time,Never,Never,Never
78,M10149H,7.3,Male,I don't like it,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,All of the time,I don't like it,Some of the time,All of the time,Some of the time,Never,Never,,Never
79,M10153D,7.2,Female,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I don't like it,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,Some of the time,Some of the time,Never,Some of the time,Never,Never
80,M10154E,7.0,Female,I like it a bit,I like it a lot,I like it a bit,I don't like it,I like it a bit,I like it a bit,Lots,I like it a lot,All of the time,Some of the time,I like it a bit,Never,All of the time,All of the time,Never,Some of the time,Never,All of the time
81,M10157H,7.2,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Some,I like it a lot,Never,All of the time,I don't like it,Never,Some of the time,Never,All of the time,Never,Never,Some of the time
82,M10158J,7.2,Female,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Some,I like it a lot,Never,All of the time,I like it a bit,Never,Never,Never,All of the time,Some of the time,Never,Never
83,M10161D,7.0,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Not many,I like it a lot,All of the time,Never,I don't like it,All of the time,Never,All of the time,All of the time,Never,Never,Some of the time
84,M10164G,7.4,Male,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I don't like it,I like it a bit,Not many,I like it a lot,Some of the time,Some of the time,I don't like it,Some of the time,All of the time,All of the time,Never,Some of the time,Some of the time,Some of the time
85,M10171F,7.2,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,Lots,I like it a lot,Never,Some of the time,I like it a lot,Some of the time,Some of the time,Never,Some of the time,Never,Never,Some of the time
86,M10172G,6.7,Male,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a bit,Some of the time,Some of the time,Some of the time,Some of the time,Never,Never,Some of the time
87,M10173H,7.3,Female,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a bit,Some of the time,Some of the time,Some of the time,Some of the time,Never,Never,Never
88,M10174J,7.1,Male,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a bit,I don't like it,Lots,I like it a lot,Some of the time,Some of the time,I like it a lot,Never,Some of the time,Never,Never,Never,Never,Some of the time
89,M10175K,7.0,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Not many,I like it a lot,Some of the time,All of the time,I like it a bit,Some of the time,All of the time,All of the time,Some of the time,Some of the time,Never,Some of the time
90,M10176L,7.1,Female,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,Never,Never,Never,Never,Never,Some of the time
91,M10177M,7.0,Male,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,Some,I like it a lot,All of the time,All of the time,I like it a bit,Some of the time,All of the time,Some of the time,Never,All of the time,Never,Some of the time
92,M10180G,7.4,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Some,I like it a lot,Never,All of the time,I don't like it,Never,Some of the time,Some of the time,Some of the time,Never,Never,Never
93,M10181H,7.1,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Some,I like it a lot,Never,All of the time,I like it a bit,Some of the time,Never,All of the time,Some of the time,Some of the time,All of the time,Some of the time
94,M10183K,7.1,Female,I like it a lot,I like it a bit,I like it a bit,I don't like it,I like it a lot,I like it a bit,Lots,I like it a lot,Never,Some of the time,I like it a bit,Some of the time,All of the time,All of the time,,Never,Never,Never
95,M10185M,7.4,Male,I like it a lot,I like it a lot,I don't like it,I like it a lot,I don't like it,I like it a lot,Some,I like it a lot,Never,All of the time,I like it a lot,Some of the time,All of the time,Some of the time,Some of the time,Some of the time,Some of the time,All of the time
96,M10189R,7.5,Female,I like it a bit,,I like it a lot,I don't like it,I don't like it,I don't like it,Not many,I like it a lot,Never,All of the time,I like it a bit,Never,Some of the time,Some of the time,Some of the time,,Never,
97,M10191K,7.2,Male,I like it a lot,I like it a bit,I don't like it,I like it a lot,I like it a lot,I like it a bit,Some,I like it a lot,Some of the time,Some of the time,I like it a lot,Never,Some of the time,Never,Never,Some of the time,Never,Never
98,M10193M,7.0,Female,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I don't like it,I don't like it,Lots,I like it a lot,Never,All of the time,I like it a lot,Some of the time,Some of the time,Some of the time,Never,Never,Never,Some of the time
99,M10194N,7.5,Male,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,Some of the time,I like it a bit,Some of the time,Some of the time,Some of the time,All of the time,Some of the time,Some of the time,Some of the time
100,M10195P,7.3,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a bit,Never,All of the time,I don't like it,Some of the time,All of the time,All of the time,Never,Some of the time,Never,Never
101,M10200T,6.8,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a bit,Never,Never,Never,Some of the time,Never,Never,Never
102,M10201U,7.4,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I don't like it,Lots,I like it a lot,All of the time,All of the time,I don't like it,Never,All of the time,All of the time,All of the time,All of the time,Never,Never
103,M10205Y,7.0,Female,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a bit,Never,Never,Never,Never,Never,Never,Never
104,M10206Z,7.0,Female,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a lot,All of the time,All of the time,I like it a lot,Some of the time,All of the time,Never,Never,Some of the time,Never,Some of the time
105,M10211W,7.1,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Some,I like it a lot,Never,All of the time,I like it a lot,Some of the time,Some of the time,Some of the time,Some of the time,Never,Never,Never
106,M10213Y,6.9,Female,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a bit,Some,I like it a lot,Never,All of the time,I like it a bit,Never,Never,Never,Never,Never,Never,Never
107,M10214Z,7.0,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I don't like it,Lots,I like it a lot,Some of the time,Some of the time,I like it a bit,Never,Never,Some of the time,Some of the time,Never,Never,All of the time
108,M10215A,7.7,Female,I like it a bit,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a bit,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Never,Some of the time,Never,Never,Never,Never,Never
109,M10220X,7.5,Female,I like it a bit,I like it a lot,I like it a bit,I like it a bit,I like it a bit,I like it a bit,Lots,I like it a lot,Some of the time,All of the time,I like it a bit,Some of the time,Never,Never,Never,Never,Never,Never
110,M10223A,7.2,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,Never,Never,Never,Never,Never,Never
111,M10224B,7.3,Female,I like it a lot,I like it a lot,I don't like it,I like it a bit,I like it a lot,I don't like it,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Never,Some of the time
112,M10225C,7.1,Female,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,Some of the time,I like it a bit,Never,Never,Never,Never,Never,Never,Never
113,M10225C,7.1,Female,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a lot,I like it a bit,Some,I like it a lot,Never,Some of the time,I like it a lot,Never,All of the time,Never,,All of the time,Never,All of the time
114,M10226D,7.2,Male,I like it a bit,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a bit,Some of the time,Some of the time,I like it a bit,Some of the time,Some of the time,Some of the time,Some of the time,Never,Never,Some of the time
115,M10227E,6.9,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a lot,Some of the time,Some of the time,Some of the time,Never,Never,Never,Never
116,M10229G,7.4,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Some of the time,Some of the time,I like it a bit,Never,Never,Never,All of the time,Some of the time,Never,Never
117,M10231A,6.8,Male,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Never,Never,Some of the time,Never,Some of the time,Never,Never
118,M10237G,7.2,Female,I like it a bit,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,Some of the time,Some of the time,Never,Never,Never,All of the time
119,M10238H,6.7,Male,I don't like it,I like it a lot,I don't like it,I like it a lot,I like it a bit,I like it a bit,Some,I like it a bit,Never,Some of the time,I don't like it,Some of the time,All of the time,Some of the time,All of the time,Some of the time,Never,Some of the time
120,M10239J,7.1,Male,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I don't like it,Lots,I like it a lot,All of the time,All of the time,I don't like it,Never,Never,Never,All of the time,Never,Never,Never
121,M10242D,7.2,Male,I don't like it,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a bit,Not many,I like it a lot,All of the time,All of the time,I like it a lot,Some of the time,Never,Never,Some of the time,All of the time,Never,Never
122,M10244F,7.3,Female,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a bit,Lots,I like it a lot,Some of the time,All of the time,I like it a bit,Some of the time,Never,Some of the time,Some of the time,Some of the time,Never,Some of the time
123,M10246H,7.3,Female,I like it a lot,I like it a bit,I like it a lot,I don't like it,I like it a bit,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a bit,Never,All of the time,Some of the time,Never,Never,Never,Never
124,M10247J,7.4,Male,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a bit,Some,I like it a lot,Never,All of the time,I don't like it,Never,Some of the time,All of the time,Some of the time,Some of the time,Never,Never
125,M10249L,7.4,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,All of the time,I don't like it,Some of the time,All of the time,Some of the time,Some of the time,Never,Never,Never
126,M10250D,7.5,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,Not many,I like it a bit,All of the time,Some of the time,I like it a bit,Some of the time,All of the time,Some of the time,Never,All of the time,Some of the time,Some of the time
