,Id,Age,Sex,LikeMusic,LikeTV,LikeDrawing,LikeComputer,LikeOutSport,LikeInSport,FriendCount,LikeFriendPlay,LikeAlone,FunFamily,LikeSchool,SadSchool,TiredSchool,FedSchool,FriendTalk,Bullied,BullyOthers,ChildLeftOut
7240,M23511Y,7.5,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,Some of the time,I don't like it,Never,Never,Never,All of the time,Never,All of the time,Never
7241,M23512Z,7.2,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Some,I like it a lot,All of the time,All of the time,I like it a bit,Some of the time,Some of the time,Some of the time,Never,Some of the time,Some of the time,Some of the time
7242,M23513A,7.5,Female,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I don't like it,Some,I like it a bit,Some of the time,Some of the time,I like it a bit,Some of the time,Some of the time,All of the time,All of the time,Never,Never,Some of the time
7243,M23514B,6.9,,,,,,,,,,,,,,,,,,,
7244,M23516D,7.1,Male,I like it a bit,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a bit,Some of the time,Some of the time,All of the time,Never,Some of the time,Never,Some of the time
7245,M23519G,7.1,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a bit,Some,I like it a bit,Some of the time,All of the time,I like it a lot,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Never,Some of the time
7246,M23520Z,7.3,Male,I like it a bit,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a lot,Some of the time,Some of the time,Never,Some of the time,Never,Some of the time,Some of the time
7247,M23522B,7.5,Female,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,Never,Never,Never,Never,Never,Never
7248,M23524D,7.6,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a bit,Some,I like it a lot,Some of the time,Some of the time,I don't like it,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Never,Some of the time
7249,M23525E,7.3,,,,,,,,,,,,,,,,,,,
7250,M23529J,7.1,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Some of the time,Some of the time,Some of the time,Never,Some of the time,Never,All of the time
7251,M23530B,7.1,Male,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a bit,Not many,I like it a lot,Never,Some of the time,I like it a bit,Never,All of the time,Some of the time,Never,Never,Never,Never
7252,M23531C,7.4,Male,I like it a lot,I like it a lot,I don't like it,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,Never,I like it a bit,Some of the time,All of the time,All of the time,Some of the time,Never,Some of the time,Never
7253,M23532D,7.5,Female,I like it a bit,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I don't like it,Not many,I like it a lot,All of the time,All of the time,I don't like it,Never,All of the time,Some of the time,Never,Some of the time,Some of the time,Some of the time
7254,M23534F,7.2,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Never,Never,Never,All of the time,Never,Never,Never
7255,M23535G,7.2,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Some of the time,All of the time,I like it a bit,Some of the time,Some of the time,Some of the time,Never,Some of the time,Never,Some of the time
7256,M23539L,6.8,Male,I like it a bit,I like it a lot,I don't like it,I like it a lot,I like it a bit,I like it a lot,Some,I like it a bit,Never,All of the time,I like it a lot,Never,Never,Some of the time,Some of the time,Some of the time,Never,Never
7257,M23540D,7.6,Male,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,,Lots,I like it a lot,Never,All of the time,I don't like it,Never,All of the time,All of the time,All of the time,Never,Never,Never
7258,M23542F,7.2,Male,I like it a lot,I like it a bit,I don't like it,I don't like it,I like it a bit,I don't like it,Some,I like it a bit,Never,All of the time,I don't like it,Some of the time,All of the time,All of the time,All of the time,Some of the time,Some of the time,Some of the time
7259,M23545J,7.3,Male,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I don't like it,Not many,I like it a lot,Some of the time,Some of the time,I like it a lot,Some of the time,Some of the time,Some of the time,All of the time,Some of the time,All of the time,Never
7260,M23546K,7.2,Female,I like it a bit,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a bit,Some,I like it a lot,Some of the time,Some of the time,I like it a bit,Never,Some of the time,Some of the time,Some of the time,Never,Never,Never
7261,M23549N,7.0,Female,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a bit,I like it a lot,Lots,I like it a lot,Never,All of the time,I don't like it,Some of the time,All of the time,Some of the time,Some of the time,Never,Never,Never
7262,M23550F,7.1,,,,,,,,,,,,,,,,,,,
7263,M23551G,7.2,Male,I like it a bit,I like it a lot,I like it a lot,I don't like it,I like it a lot,I don't like it,Lots,I like it a lot,Never,All of the time,I like it a bit,Never,Never,Never,Some of the time,Never,Never,Never
7264,M23552H,7.4,,,,,,,,,,,,,,,,,,,
7265,M23556M,7.7,Male,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a bit,Some,I like it a lot,Never,Some of the time,I like it a bit,Some of the time,Some of the time,Some of the time,All of the time,Some of the time,Never,Some of the time
7266,M23557N,7.2,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Never,Never,Never,Never,Never,Never,Some of the time
7267,M23558P,7.0,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a bit,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Never,Some of the time,Never,Some of the time,,Some of the time,Some of the time
7268,M23560H,7.1,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Some,I like it a lot,Never,Some of the time,I like it a bit,Never,All of the time,Never,Some of the time,Never,Never,Never
7269,M23563L,7.1,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a bit,All of the time,Some of the time,Never,Some of the time,Some of the time,Never,Some of the time
7270,M23564M,7.1,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Some,I like it a lot,Some of the time,All of the time,I like it a lot,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time
7271,M23564M,7.1,Male,I like it a bit,I like it a lot,I don't like it,I like it a lot,I like it a lot,I like it a lot,Some,I like it a lot,Never,All of the time,I like it a bit,Some of the time,Some of the time,Never,Some of the time,Never,Never,Never
7272,M23567Q,7.2,Male,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a lot,Never,Some of the time,I like it a bit,Never,All of the time,Some of the time,Some of the time,Never,Never,Some of the time
